HDI rank,Country,HUMAN DEVELOPMENT,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita
56,Kazakhstan,VERY HIGH ,0.811,69.4,15.8,12.3,23943.0
57,Trinidad and Tobago,VERY HIGH ,0.81,73.0,14.5,11.6,23392.0
58,Costa Rica,VERY HIGH ,0.809,77.0,16.5,8.8,19974.0
58,Uruguay,VERY HIGH ,0.809,75.4,16.8,9.0,21269.0
60,Belarus,VERY HIGH ,0.808,72.4,15.2,12.1,18849.0
61,Panama,VERY HIGH ,0.805,76.2,13.1,10.5,26957.0
62,Malaysia,VERY HIGH ,0.803,74.9,13.3,10.6,26658.0
63,Georgia,VERY HIGH ,0.802,71.7,15.6,12.8,14664.0
63,Mauritius,VERY HIGH ,0.802,73.6,15.2,10.4,22025.0
63,Serbia,VERY HIGH ,0.802,74.2,14.4,11.4,19123.0
66,Thailand,VERY HIGH ,0.8,78.7,15.9,8.7,17030.0
67,Albania,HIGH,0.796,76.5,14.4,11.3,14131.0
68,Bulgaria,HIGH,0.795,71.8,13.9,11.4,23079.0
68,Grenada,HIGH,0.795,74.9,18.7,9.0,13484.0
70,Barbados,HIGH,0.79,77.6,15.7,9.9,12306.0
71,Antigua and Barbuda,HIGH,0.788,78.5,14.2,9.3,16792.0
72,Seychelles,HIGH,0.785,71.3,13.9,10.3,25831.0
73,Sri Lanka,HIGH,0.782,76.4,14.1,10.8,12578.0
74,Bosnia and Herzegovina,HIGH,0.78,75.3,13.8,10.5,15242.0
75,Saint Kitts and Nevis,HIGH,0.777,71.7,15.4,8.7,23358.0
76,Iran (Islamic Republic of),HIGH,0.774,73.9,14.6,10.6,13001.0
77,Ukraine,HIGH,0.773,71.6,15.0,11.1,13256.0
78,North Macedonia,HIGH,0.77,73.8,13.6,10.2,15918.0
79,China,HIGH,0.768,78.2,14.2,7.6,17504.0
80,Dominican Republic,HIGH,0.767,72.6,14.5,9.3,17990.0
80,Moldova (Republic of),HIGH,0.767,68.8,14.4,11.8,14875.0
80,Palau,HIGH,0.767,66.0,15.8,12.5,13819.0
83,Cuba,HIGH,0.764,73.7,14.4,12.5,7879.0
84,Peru,HIGH,0.762,72.4,15.4,9.9,12246.0
85,Armenia,HIGH,0.759,72.0,13.1,11.3,13158.0
86,Mexico,HIGH,0.758,70.2,14.9,9.2,17896.0
87,Brazil,HIGH,0.754,72.8,15.6,8.1,14370.0
88,Colombia,HIGH,0.752,72.8,14.4,8.9,14384.0
89,Saint Vincent and the Grenadines,HIGH,0.751,69.6,14.7,10.8,11961.0
90,Maldives,HIGH,0.747,79.9,12.6,7.3,15448.0
91,Algeria,HIGH,0.745,76.4,14.6,8.1,10800.0
91,Azerbaijan,HIGH,0.745,69.4,13.5,10.5,14257.0
91,Tonga,HIGH,0.745,71.0,16.0,11.4,6822.0
91,Turkmenistan,HIGH,0.745,69.3,13.2,11.3,13021.0
95,Ecuador,HIGH,0.74,73.7,14.6,8.8,10312.0
96,Mongolia,HIGH,0.739,71.0,15.0,9.4,10588.0
97,Egypt,HIGH,0.731,70.2,13.8,9.6,11732.0
97,Tunisia,HIGH,0.731,73.8,15.4,7.4,10258.0
99,Fiji,HIGH,0.73,67.1,14.7,10.9,9980.0
99,Suriname,HIGH,0.73,70.3,13.0,9.8,12672.0
101,Uzbekistan,HIGH,0.727,70.9,12.5,11.9,7917.0
102,Dominica,HIGH,0.72,72.8,13.3,8.1,11488.0
102,Jordan,HIGH,0.72,74.3,10.6,10.4,9924.0
104,Libya,HIGH,0.718,71.9,12.9,7.6,15336.0
105,Paraguay,HIGH,0.717,70.3,13.0,8.9,12349.0
106,"Palestine, State of",HIGH,0.715,73.5,13.4,9.9,6583.0
106,Saint Lucia,HIGH,0.715,71.1,12.9,8.5,12048.0
108,Guyana,HIGH,0.714,65.7,12.5,8.6,22465.0
109,South Africa,HIGH,0.713,62.3,13.6,11.4,12948.0
110,Jamaica,HIGH,0.709,70.5,13.4,9.2,8834.0
111,Samoa,HIGH,0.707,72.8,12.4,11.4,5308.0
112,Gabon,HIGH,0.706,65.8,13.0,9.4,13367.0
112,Lebanon,HIGH,0.706,75.0,11.3,8.7,9526.0
114,Indonesia,HIGH,0.705,67.6,13.7,8.6,11466.0
115,Viet Nam,HIGH,0.703,73.6,13.0,8.4,7867.0
116,Philippines,MEDIUM ,0.699,69.3,13.1,9.0,8920.0
117,Botswana,MEDIUM ,0.693,61.1,12.3,10.3,16198.0
118,Bolivia (Plurinational State of),MEDIUM ,0.692,63.6,14.9,9.8,8111.0
118,Kyrgyzstan,MEDIUM ,0.692,70.0,13.2,11.4,4566.0
120,Venezuela (Bolivarian Republic of),MEDIUM ,0.691,70.6,12.8,11.1,4811.0
121,Iraq,MEDIUM ,0.686,70.4,12.1,7.9,9977.0
122,Tajikistan,MEDIUM ,0.685,71.6,11.7,11.3,4548.0
123,Belize,MEDIUM ,0.683,70.5,13.0,8.8,6309.0
123,Morocco,MEDIUM ,0.683,74.0,14.2,5.9,7303.0
125,El Salvador,MEDIUM ,0.675,70.7,12.7,7.2,8296.0
126,Nicaragua,MEDIUM ,0.667,73.8,12.6,7.1,5625.0
127,Bhutan,MEDIUM ,0.666,71.8,13.2,5.2,9438.0
128,Cabo Verde,MEDIUM ,0.662,74.1,12.6,6.3,6230.0
129,Bangladesh,MEDIUM ,0.661,72.4,12.4,7.4,5472.0
130,Tuvalu,MEDIUM ,0.641,64.5,9.4,10.6,6351.0
131,Marshall Islands,MEDIUM ,0.639,65.3,10.2,10.9,4620.0
132,India,MEDIUM ,0.633,67.2,11.9,6.7,6590.0
133,Ghana,MEDIUM ,0.632,63.8,12.0,8.3,5745.0
134,Micronesia (Federated States of),MEDIUM ,0.628,70.7,11.5,7.8,3696.0
135,Guatemala,MEDIUM ,0.627,69.2,10.6,5.7,8723.0
136,Kiribati,MEDIUM ,0.624,67.4,11.8,8.0,4063.0
137,Honduras,MEDIUM ,0.621,70.1,10.1,7.1,5298.0
138,Sao Tome and Principe,MEDIUM ,0.618,67.6,13.4,6.2,4021.0
139,Namibia,MEDIUM ,0.615,59.3,11.9,7.2,8634.0
140,Lao People's Democratic Republic,MEDIUM ,0.607,68.1,10.1,5.4,7700.0
140,Timor-Leste,MEDIUM ,0.607,67.7,12.6,5.4,4461.0
140,Vanuatu,MEDIUM ,0.607,70.4,11.5,7.1,3085.0
143,Nepal,MEDIUM ,0.602,68.4,12.9,5.1,3877.0
144,Eswatini (Kingdom of),MEDIUM ,0.597,57.1,13.7,5.6,7679.0
145,Equatorial Guinea,MEDIUM ,0.596,60.6,9.7,5.9,12074.0
146,Cambodia,MEDIUM ,0.593,69.6,11.5,5.1,4079.0
146,Zimbabwe,MEDIUM ,0.593,59.3,12.1,8.7,3810.0
148,Angola,MEDIUM ,0.586,61.6,12.2,5.4,5466.0
149,Myanmar,MEDIUM ,0.585,65.7,10.9,6.4,3851.0
150,Syrian Arab Republic,MEDIUM ,0.577,72.1,9.2,5.1,4192.0
151,Cameroon,MEDIUM ,0.576,60.3,13.1,6.2,3621.0
152,Kenya,MEDIUM ,0.575,61.4,10.7,6.7,4474.0
153,Congo,MEDIUM ,0.571,63.5,12.3,6.2,2889.0
154,Zambia,MEDIUM ,0.565,61.2,10.9,7.2,3218.0
155,Solomon Islands,MEDIUM ,0.564,70.3,10.3,5.7,2482.0
156,Comoros,MEDIUM ,0.558,63.4,11.9,5.1,3142.0
156,Papua New Guinea,MEDIUM ,0.558,65.4,10.4,4.7,4009.0
158,Mauritania,MEDIUM ,0.556,64.4,9.4,4.9,5075.0
159,Côte d'Ivoire,MEDIUM ,0.55,58.6,10.7,5.2,5217.0
160,Tanzania (United Republic of),LOW,0.549,66.2,9.2,6.4,2664.0
161,Pakistan,LOW,0.544,66.1,8.7,4.5,4624.0
162,Togo,LOW,0.539,61.6,13.0,5.0,2167.0
163,Haiti,LOW,0.535,63.2,9.7,5.6,2848.0
163,Nigeria,LOW,0.535,52.7,10.1,7.2,4790.0
165,Rwanda,LOW,0.534,66.1,11.2,4.4,2210.0
166,Benin,LOW,0.525,59.8,10.8,4.3,3409.0
166,Uganda,LOW,0.525,62.7,10.1,5.7,2181.0
168,Lesotho,LOW,0.514,53.1,12.0,6.0,2700.0
169,Malawi,LOW,0.512,62.9,12.7,4.5,1466.0
170,Senegal,LOW,0.511,67.1,9.0,2.9,3344.0
171,Djibouti,LOW,0.509,62.3,7.4,4.1,5025.0
172,Sudan,LOW,0.508,65.3,7.9,3.8,3575.0
173,Madagascar,LOW,0.501,64.5,10.1,5.1,1484.0
174,Gambia,LOW,0.5,62.1,9.4,4.6,2172.0
175,Ethiopia,LOW,0.498,65.0,9.7,3.2,2361.0
176,Eritrea,LOW,0.492,66.5,8.1,4.9,1729.0
177,Guinea-Bissau,LOW,0.483,59.7,10.6,3.6,1908.0
178,Liberia,LOW,0.481,60.7,10.4,5.1,1289.0
179,Congo (Democratic Republic of the),LOW,0.479,59.2,9.8,7.0,1076.0
180,Afghanistan,LOW,0.478,62.0,10.3,3.0,1824.0
181,Sierra Leone,LOW,0.477,60.1,9.6,4.6,1622.0
182,Guinea,LOW,0.465,58.9,9.8,2.2,2481.0
183,Yemen,LOW,0.455,63.8,9.1,3.2,1314.0
184,Burkina Faso,LOW,0.449,59.3,9.1,2.1,2118.0
185,Mozambique,LOW,0.446,59.3,10.2,3.2,1198.0
186,Mali,LOW,0.428,58.9,7.4,2.3,2133.0
187,Burundi,LOW,0.426,61.7,10.7,3.1,732.0
188,Central African Republic,LOW,0.404,53.9,8.0,4.3,966.0
189,Niger,LOW,0.4,61.6,7.0,2.1,1240.0
190,Chad,LOW,0.394,52.5,8.0,2.6,1364.0
191,South Sudan,LOW,0.385,55.0,5.5,5.7,768.0
